Tesla,Meta,Amazon,Microsoft,CEMEX
194.050003,432.190887,180.960007,401.525757,8.083513
183.279999,429.743347,175,388.628998,7.884166
179.990005,438.754364,179,394.228912,7.854265
180.009995,441.241913,184.720001,397.123688,7.794461
181.190002,451.511688,186.210007,405.927826,7.973873
184.759995,465.218079,188.699997,412.795441,7.953938
177.809998,467.775543,188.759995,408.602997,7.784493
174.720001,472.131256,188,409.800842,7.734657
171.970001,474.948456,189.5,411.577637,7.864232
168.470001,475.727692,187.479996,413.993256,7.924036
171.889999,467.545807,186.570007,412.975098,7.924036
177.550003,471.381989,187.070007,415.809998,7.884166
173.990005,481.062378,185.990005,423.079987,7.884166
174.839996,472.76062,183.630005,420.98999,7.814395
177.460007,471.441925,184.699997,420.209991,7.764558
174.949997,468.374969,183.539993,425.339996,7.83433
186.600006,464.169159,183.149994,429.040009,7.724689
180.110001,467.31601,183.130005,430.519989,7.585146
173.740005,465.317993,181.050003,427,7.565212
179.240005,477.745667,180.75,430.160004,7.585146
176.75,479.444,182.149994,430.320007,7.555244
176.190002,473.889465,182.020004,429.170013,7.485473
178.789993,466.586731,179.320007,414.670013,7.595114
178.080002,466.366943,176.440002,415.130005,7.505408
176.289993,477.016388,178.339996,413.519989,6.867498
174.770004,476.516876,179.339996,416.070007,6.877465
175,494.56897,181.279999,424.01001,7.036942
177.940002,493.270264,185,424.519989,6.907367
177.479996,492.471039,184.300003,423.850006,6.588412
173.789993,502.101501,187.059998,427.869995,6.658184
170.660004,506.966644,187.229996,432.679993,6.428935
177.289993,508.335297,186.889999,441.059998,6.59838
182.470001,503.600006,183.830002,441.579987,6.608347
178.009995,504.160004,183.660004,442.570007,6.409
187.440002,506.630005,184.059998,448.369995,6.5
184.860001,499.48999,182.809998,446.339996,6.48
181.570007,501.700012,186.100006,445.700012,6.39
183.009995,494.779999,189.080002,449.779999,6.29
182.580002,498.910004,185.570007,447.670013,6.36
187.350006,510.600006,186.339996,450.950012,6.34
196.369995,513.119995,193.610001,452.160004,6.32
197.419998,519.559998,197.850006,452.850006,6.34
197.880005,504.220001,193.25,446.950012,6.39
209.860001,504.679993,197.199997,456.730011,6.28
231.259995,509.5,200,459.279999,6.14
246.389999,509.959991,197.589996,460.769989,6.18
251.520004,539.909973,200,467.559998,6.18
252.940002,529.320007,199.289993,466.23999,6.29
262.329987,530,199.339996,459.540009,6.27
263.26001,534.690002,199.789993,466.25,6.68
241.029999,512.700012,195.050003,454.700012,6.84
248.229996,498.869995,194.490005,453.549988,6.88
252.639999,496.160004,192.720001,453.959991,6.74
256.559998,489.790009,193.020004,449.519989,6.86
248.5,461.98999,187.929993,443.519989,6.47
249.229996,475.850006,183.75,440.369995,6.34
