ent,sex,eda,nac_mes,nac_anio,cs_p12,cs_p13_1,cs_p13_2,cs_p15,cs_p16,n_hij,e_con,zona,salario,clase2,rama,c_ocu11c,dur9c,rama_est2,dur_est,d_ant_lab,d_cexp_est,niv_ins,anios_esc,hrsocup,ingocup,ing_x_hrs,imssissste,scian,t_tra,emp_ppal,sec_ins,,
9,2,44,6,1979,1,7,5,3,1,0,6,2,7468,1,4,6,5,8,4,0,0,4,17,36,0,0,4,10,2,1,1,,
9,2,43,12,1980,1,7,4,3,1,2,2,2,7468,1,4,2,6,9,4,0,0,4,16,40,14000,81.39535,2,15,1,2,7,,
9,2,29,2,1995,1,7,4,3,1,0,6,2,7468,2,0,0,0,0,0,2,0,4,16,0,0,0,0,0,1,0,0,,
9,2,23,7,2000,1,7,2,3,2,0,6,2,7468,1,4,4,6,9,4,0,0,4,14,40,6000,34.88372,1,15,1,2,6,,
9,2,29,8,1994,1,6,3,2,1,0,6,2,7468,1,7,11,3,0,3,0,0,3,12,24,0,0,4,21,1,1,2,,
9,2,36,8,1987,1,7,3,3,1,1,5,2,7468,1,4,1,4,8,3,0,0,4,15,30,0,0,4,12,1,2,4,,
9,2,25,11,1998,1,7,4,3,1,0,6,2,7468,1,4,4,6,8,4,0,0,4,16,45,0,0,1,12,1,2,2,,
9,2,44,12,1979,1,7,5,3,1,0,1,2,7468,1,4,4,8,11,5,0,0,4,17,112,36000,74.75083,2,20,1,2,5,,
9,2,39,10,1984,1,7,4,3,1,2,5,2,7468,1,4,2,1,9,1,0,0,4,16,0,15000,0,2,15,1,2,7,,
9,2,20,5,2004,1,7,1,3,2,0,6,2,7468,1,3,6,2,5,2,0,0,4,13,14,0,0,4,7,1,1,8,,
9,2,49,1,1975,1,6,3,2,1,0,6,2,7468,1,4,4,6,9,4,0,0,3,12,40,8000,46.51163,1,15,1,2,6,,
9,2,27,1,1997,1,7,5,3,1,0,6,2,7468,1,3,1,6,5,4,0,0,4,17,42,8000,44.29679,4,7,1,1,2,,
9,2,47,2,1977,1,7,4,3,1,2,1,2,7468,1,4,2,1,9,1,0,0,4,16,0,10000,0,1,15,1,2,6,,
9,2,45,10,1978,1,7,4,3,1,0,6,2,7468,1,4,1,6,8,4,0,0,4,16,45,18000,93.02326,4,12,1,2,2,,
9,2,60,12,1963,1,6,1,2,2,2,5,2,7468,1,3,6,8,5,5,0,0,3,10,63,0,0,4,7,1,2,4,,
9,2,31,5,1993,1,7,4,3,1,0,1,2,7468,1,3,1,8,5,5,0,0,4,16,60,0,0,1,7,1,2,2,,
9,2,83,6,1940,1,6,1,2,2,1,6,2,7468,1,4,8,2,10,2,0,0,3,10,1,430,100,4,19,1,1,8,,
9,2,38,7,1985,1,7,1,3,2,3,1,2,7468,1,4,8,2,10,2,0,0,4,13,10,1720,40,4,19,1,1,9,,
9,2,30,2,1994,1,7,4,3,1,0,6,2,7468,1,3,4,6,5,4,0,0,4,16,48,0,0,1,7,1,2,2,,
9,2,57,2,1967,1,7,1,3,2,1,6,2,7468,1,3,6,8,5,5,0,0,4,13,60,6450,25,4,7,1,2,4,,
9,2,29,3,1995,1,7,4,3,1,0,6,2,7468,1,4,9,6,11,4,0,0,4,16,40,0,0,2,20,1,2,5,,
9,2,39,10,1984,1,7,5,3,1,0,1,2,7468,1,4,1,6,9,4,0,0,4,17,40,0,0,4,16,1,2,4,,
9,2,28,5,1996,1,7,4,3,1,0,6,2,7468,1,4,1,6,8,4,0,0,4,16,40,19200,111.62791,4,12,2,1,2,,
9,2,50,12,1973,1,7,4,3,1,0,6,2,7468,1,4,2,5,9,4,0,0,4,16,35,0,0,2,15,2,2,7,,
9,2,69,12,1954,1,7,4,3,1,1,2,2,7468,1,3,6,2,5,2,0,0,4,16,12,6450,125,4,7,1,1,8,,
9,2,65,1,1959,1,7,5,3,1,0,6,2,7468,1,4,1,2,9,2,0,0,4,17,10,0,0,4,16,1,2,4,,
9,2,30,4,1994,1,7,4,3,1,0,6,2,7468,1,4,5,8,6,5,0,0,4,16,60,0,0,1,18,1,2,2,,
9,2,33,7,1990,1,6,3,2,1,1,3,2,7468,1,3,4,8,5,5,0,0,3,12,67,0,0,4,7,1,1,2,,
9,2,19,5,2005,1,6,2,2,2,0,6,2,7468,1,7,1,2,0,2,0,0,3,11,9,2150,55.55556,4,21,1,1,11,,
9,2,25,5,1999,1,7,3,3,2,0,6,2,7468,1,3,6,8,5,5,0,0,4,15,63,6450,23.80952,4,7,1,1,8,,
9,2,39,3,1985,1,7,4,3,1,2,1,2,7468,2,0,0,0,0,0,1,1,4,16,0,0,0,0,0,1,0,0,,
9,2,34,11,1989,1,7,4,3,1,1,5,2,7468,1,4,2,5,9,4,0,0,4,16,36,12000,77.51938,2,15,1,2,7,,
9,2,59,5,1965,1,6,3,2,1,3,3,2,7468,1,3,6,4,5,3,0,0,3,12,28,0,0,4,7,1,1,8,,
9,2,49,1,1975,1,7,4,3,1,2,6,2,7468,1,4,6,8,8,5,0,0,4,16,60,0,0,4,11,1,1,8,,
9,2,37,3,1987,1,7,4,3,1,0,6,2,7468,1,3,1,6,5,4,0,0,4,16,45,0,0,4,7,1,1,2,,
